competênciamov;região;uf;município;seção;subclasse;saldomovimentação;cbo2002ocupação;categoria;graudeinstrução;idade;horascontratuais;raçacor;sexo;tipoempregador;tipoestabelecimento;tipomovimentação;tipodedeficiência;indtrabintermitente;indtrabparcial;salário;tamestabjan;indicadoraprendiz;origemdainformação;competênciadec;competênciaexc;indicadordeexclusão;indicadordeforadoprazo;unidadesaláriocódigo;valorsaláriofixo
202004;3;35;352590;F;4330404;1;716610;101;7;48;44,00;3;1;0;1;20;0;0;0;1886,97;1;0;1;202010;202301;1;1;5;1886,97
202004;1;13;130260;Q;8630503;1;782320;101;7;42;44,00;3;1;0;1;20;0;0;0;1060,00;1;0;1;202005;202301;1;1;5;1060,00
202004;5;51;510790;G;4754701;1;521110;101;8;24;44,00;1;3;0;1;20;0;0;0;,00;4;0;1;202004;202301;1;0;7;,00
202004;3;35;354730;N;8291100;-1;422215;101;7;37;36,00;3;3;0;1;32;0;0;0;1292,75;9;0;1;202004;202301;1;0;5;1292,75
202004;4;42;420320;C;1099604;-1;410235;101;9;36;44,00;1;1;0;1;40;0;0;0;1855,00;6;0;1;202005;202301;1;1;5;1855,00
202005;3;35;354390;Q;8640205;-1;422310;101;9;32;30,00;4;3;0;1;32;0;0;0;1181,35;5;0;1;202005;202301;1;0;5;1181,35
202005;4;42;420320;C;1099604;-1;414110;101;5;33;44,00;2;1;0;1;40;0;0;0;1400,00;6;0;1;202005;202301;1;0;5;1400,00
202005;3;33;330490;Q;8610102;1;203205;101;7;26;44,00;1;3;0;1;20;0;0;0;1479,29;7;0;1;202105;202301;1;1;5;1479,29
202005;3;33;330490;Q;8610102;1;322205;101;7;32;44,00;1;3;0;1;20;0;0;0;1665,93;7;0;1;202105;202301;1;1;5;1665,93
202005;4;41;411370;F;4391600;1;717020;101;5;28;44,00;6;1;0;1;20;0;0;0;1232,00;4;0;1;202103;202301;1;1;5;1232,00
202005;4;41;412820;G;4789099;1;421125;101;7;33;44,00;1;3;0;1;20;0;0;0;1377,60;2;0;1;202005;202301;1;0;5;1377,60
202005;3;33;330490;Q;8610102;1;322205;101;7;48;44,00;1;3;0;1;20;0;0;0;1665,93;7;0;1;202105;202301;1;1;5;1665,93
202005;3;33;330455;F;4330402;-1;725105;111;7;35;24,00;3;1;0;1;31;0;1;0;619,20;1;0;1;202005;202301;1;0;1;5,16
202005;3;33;330455;N;8112500;1;517410;101;7;43;36,00;3;1;0;1;20;0;0;0;1401,50;2;0;1;202005;202301;1;0;5;1401,50
202005;2;26;260790;Q;8610101;1;223505;105;80;51;25,01;1;1;0;1;20;0;0;0;1545,75;9;0;1;202005;202301;1;0;5;1545,75
202005;3;35;355030;N;8211300;-1;412205;101;6;17;20,00;3;1;0;1;43;0;0;0;447,75;2;0;1;202005;202301;1;0;5;447,75
202005;4;41;411370;F;4391600;1;717020;101;5;24;44,00;3;1;0;1;20;0;0;0;1232,00;4;0;1;202103;202301;1;1;5;1232,00
202005;4;42;420320;C;1099604;-1;411010;101;7;39;44,00;1;3;0;1;31;0;0;0;1500,00;6;0;1;202005;202301;1;0;5;1500,00
202005;1;15;150140;R;9312300;1;517410;101;6;58;36,00;3;3;0;1;20;0;0;0;1100,00;5;0;1;202104;202301;1;1;5;1100,00
202005;3;33;330490;Q;8610102;1;322205;101;7;22;44,00;1;1;0;1;20;0;0;0;1665,93;7;0;1;202105;202301;1;1;5;1665,93
202005;4;41;411370;F;4391600;1;717020;101;6;36;44,00;6;3;0;1;20;0;0;0;1232,00;4;0;1;202103;202301;1;1;5;1232,00
202005;2;23;230250;E;3811400;-1;514215;101;5;56;44,00;2;1;0;1;32;0;0;0;1099,82;6;0;1;202005;202301;1;0;5;1099,82
202005;2;26;261110;G;4642701;-1;421125;101;7;19;44,00;1;3;0;1;31;0;0;0;1287,99;5;0;1;202005;202301;1;0;5;1287,99
202005;4;41;411370;F;4391600;1;717020;101;7;31;44,00;6;3;0;1;20;0;0;0;1232,00;4;0;1;202103;202301;1;1;5;1232,00
202005;4;42;420320;C;1099604;-1;511210;101;4;55;44,00;1;1;0;1;31;0;0;0;1555,04;6;0;1;202005;202301;1;0;5;1555,04
202005;3;35;351970;I;5611203;-1;521125;101;7;56;44,00;1;1;0;1;31;0;0;0;1357,00;3;0;1;202005;202301;1;0;5;1357,00
202005;3;31;316720;I;5611203;1;513435;101;6;20;44,00;3;3;0;1;20;0;0;0;1200,00;2;0;1;202005;202301;1;0;5;1200,00
202005;5;51;510790;G;4754701;1;521110;101;7;38;44,00;1;1;0;1;20;0;0;0;1751,00;4;0;1;202005;202301;1;0;5;1751,00
202005;4;42;420320;C;1099604;-1;521110;101;7;33;44,00;6;1;0;1;40;0;0;0;,00;6;0;1;202005;202301;1;0;5;,00
202005;4;41;411370;F;4391600;1;717020;101;7;24;44,00;6;3;0;1;20;0;0;0;1232,00;4;0;1;202103;202301;1;1;5;1232,00
202005;4;41;411370;F;4391600;1;717020;101;5;19;44,00;6;3;0;1;20;0;0;0;1232,00;4;0;1;202103;202301;1;1;5;1232,00
202005;2;29;291920;G;4744099;1;717020;105;7;24;44,00;6;1;0;1;20;0;0;0;1070,02;2;0;1;202005;202301;1;0;5;1070,02
202006;3;33;330455;J;5913800;-1;142310;101;9;50;40,00;2;1;0;1;40;0;0;0;5691,80;5;0;1;202006;202301;1;0;5;5691,80
202006;4;41;411220;F;4399103;-1;715210;101;7;49;44,00;1;1;0;4;40;0;0;0;1870,00;1;0;1;202006;202301;1;0;5;1870,00
202006;3;33;330350;N;8291100;1;354120;101;7;21;40,00;3;3;0;1;20;0;0;0;1242,32;1;0;1;202006;202301;1;0;5;1242,32
202006;3;33;330490;Q;8610102;1;322205;101;7;41;44,00;1;3;0;1;20;0;0;0;1665,93;7;0;1;202105;202301;1;1;5;1665,93
202006;3;31;310900;N;8111700;1;517410;101;7;48;36,00;6;1;0;1;97;0;0;0;1300,00;1;0;1;202106;202301;1;1;5;1300,00
202006;3;35;354990;G;4753900;1;517420;101;7;37;36,00;6;3;0;1;20;0;0;0;1188,57;1;0;1;202010;202301;1;1;5;1188,57
202006;1;13;130260;F;4292801;1;724210;101;7;62;44,00;6;1;0;1;10;0;0;0;1800,00;2;0;1;202102;202301;1;1;5;1800,00
202006;3;33;330490;Q;8610102;1;322205;101;7;23;44,00;1;3;0;1;20;0;0;0;1665,93;7;0;1;202105;202301;1;1;5;1665,93
202006;3;35;355030;F;4399101;-1;724405;101;7;37;44,00;2;1;0;1;32;0;0;0;1908,54;10;0;1;202006;202301;1;0;5;1908,54
202006;3;33;330490;Q;8610102;1;322205;101;7;23;44,00;1;3;0;1;20;0;0;0;1665,93;7;0;1;202105;202301;1;1;5;1665,93
202006;3;35;355030;F;4311802;1;414105;101;9;31;44,00;1;3;0;1;20;0;0;0;3000,00;1;0;1;202006;202301;1;0;5;3000,00
202006;5;53;530010;G;4781400;-1;421125;101;7;24;44,00;3;3;0;1;32;0;0;0;1170,00;6;0;1;202006;202301;1;0;5;1170,00
202007;3;35;352590;F;4330404;1;716610;101;7;20;44,00;3;1;0;1;20;0;0;0;1886,97;1;0;1;202010;202301;1;1;5;1886,97
202007;3;35;355030;C;2825900;1;214270;101;9;27;44,00;1;3;0;1;20;0;0;0;2500,00;5;0;1;202007;202301;1;0;5;2500,00
202007;2;29;291080;Q;8610102;1;301110;101;7;25;44,00;3;3;0;1;20;0;0;0;1249,44;7;0;1;202009;202301;1;1;5;1249,44
202007;2;24;240810;N;8211300;-1;782305;101;7;61;44,00;3;1;0;1;40;0;0;0;1492,21;4;0;1;202008;202301;1;1;5;1492,21
202007;1;13;130260;Q;8621601;1;322205;101;7;38;44,00;2;1;0;1;20;0;0;0;1386,99;4;0;1;202104;202301;1;1;5;1386,99
202007;3;32;320500;G;4663000;1;10105;101;7;34;44,00;1;1;0;1;20;0;0;0;1954,25;1;0;1;202007;202301;1;0;5;1954,25
202007;3;35;355030;G;4721102;1;521140;101;7;25;44,00;1;3;0;1;20;0;0;0;1200,00;2;0;1;202007;202301;1;0;5;1200,00
202007;3;35;352590;F;4330404;1;723315;101;7;37;44,00;1;1;0;1;20;0;0;0;1886,97;1;0;1;202010;202301;1;1;5;1886,97
202007;3;32;320500;G;4663000;1;911305;101;7;35;44,00;6;1;0;1;20;0;0;0;2365,00;1;0;1;202007;202301;1;0;5;2365,00
202007;3;31;316470;G;4712100;1;513205;101;6;40;44,00;1;3;0;1;20;0;0;0;1086,00;3;0;1;202007;202301;1;0;5;1086,00
202007;2;29;292740;N;8211300;1;411005;101;7;28;44,00;1;3;0;1;20;0;0;0;1626,10;1;0;1;202007;202301;1;0;5;1626,10
202007;3;35;352590;F;4330404;1;723315;101;7;59;44,00;6;1;0;1;20;0;0;0;1886,97;1;0;1;202010;202301;1;1;5;1886,97
202007;3;35;353730;Q;8650003;1;422110;101;7;18;25,00;1;1;0;1;20;0;0;1;687,00;1;0;1;202007;202301;1;0;5;687,00
202007;2;29;291080;Q;8610102;1;414105;101;7;25;44,00;6;1;0;1;20;0;0;0;1210,41;7;0;1;202105;202301;1;1;5;1210,41
202007;3;33;330490;Q;8610102;1;514320;101;7;36;44,00;3;1;0;1;20;0;0;0;1283,73;7;0;1;202105;202301;1;1;5;1283,73
202007;5;51;510790;G;4754701;1;521110;101;9;29;44,00;3;1;0;1;20;0;0;0;,00;4;0;1;202007;202301;1;0;7;,00
202007;1;15;150442;R;9312300;1;414125;101;5;24;44,00;3;1;0;1;20;0;0;0;1317,00;1;0;1;202007;202301;1;0;5;1317,00
202007;2;28;280030;M;7119701;-1;213415;101;9;39;44,00;6;1;0;1;31;0;0;0;7000,00;2;0;1;202007;202301;1;0;5;7000,00
202007;3;32;320500;G;4663000;1;732105;101;7;49;44,00;6;1;0;1;20;0;0;0;3169,40;1;0;1;202007;202301;1;0;5;3169,40
202007;3;35;352590;F;4330404;1;723315;101;7;62;44,00;1;1;0;1;20;0;0;0;1886,97;1;0;1;202010;202301;1;1;5;1886,97
